Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1899,12,119,26.3,5.25,3.85,1842,0.14,0.86,0.05,0.05,0.02,8.63,9.63,5.25,3.69,0.19,2.7,,2.1,0.49,0.03,0.2,37.36,1.43,0.297,10,0.2,2.8,2.2,0.78,2.42
1898,12,113,25.8,4.96,3.6,1840,0.13,0.87,0.05,0.05,0.01,8.67,9.21,4.96,3.47,0.16,2.77,,2.31,0.48,0.01,0.21,37.34,1.382,0.286,9.6,0.2,2.9,2.4,0.83,2.38
1897,12,98,25.5,5.91,4.3,1614,0.16,0.84,0.03,0.03,0.02,8.68,10.24,5.91,4.15,0.23,2.93,,2.31,0.46,0,0.25,38.54,1.518,0.307,10.6,0.2,3,2.4,0.79,2.5
1896,12,108,25.8,6.04,4.36,1584,0.18,0.82,0.03,0.04,0.02,8.69,10.19,6.04,4.21,0.26,3.06,,2.22,0.4,0,0.26,38.6,1.526,0.305,10.6,0.3,3.2,2.3,0.73,2.58
1895,12,105,25.4,6.6,4.77,1594,0.19,0.81,0.03,0.03,0.03,8.66,10.56,6.6,4.59,0.31,3.21,,2.27,0.42,0,0.25,39.29,1.59,0.31,11,0.3,3.3,2.4,0.71,2.9
1894,12,115,25.3,7.39,5.33,1596,0.19,0.81,0.02,0.02,0.02,8.67,11.16,7.39,5.13,0.39,3.68,,2.09,0.38,0,0.31,40.17,1.712,0.32,11.6,0.4,3.8,2.2,0.57,3.04
1893,12,98,25.2,6.57,4.66,1570,0.18,0.82,0.03,0.03,0.02,8.83,10.14,6.57,4.57,0.29,3.91,,2.13,0.41,0,0.33,40.59,1.591,0.291,10.3,0.3,4,2.2,0.54,2.92
1892,12,92,25.3,5.11,3.28,1836,0.12,0.88,0.05,0.05,0.01,8.77,8.52,5.11,3.2,0.23,3.36,,3.26,0.31,0,0.33,38.5,1.355,0.265,8.7,0.2,3.5,3.3,0.97,3.04
1891,17,126,24.8,5.7,3.53,2216,0.14,0.86,0.04,0.04,0.02,8.78,8.89,5.7,3.44,0.26,3.63,,3.45,0.44,0,0.46,39.15,1.426,0.275,9.1,0.3,3.7,3.5,0.95,3.18
1890,25,186,24.6,6.02,3.88,3218,0.11,0.89,0.04,0.04,0.01,8.75,9.15,6.02,3.78,0.24,3.64,,3.4,0.42,0.01,0.5,39.31,1.461,0.271,9.4,0.2,3.7,3.5,0.93,3.32
1889,16,122,24.6,5.97,3.93,2176,0.11,0.89,0.04,0.04,0.02,8.74,9.24,5.97,3.82,0.31,3.36,,3.53,0.36,0,0.52,38.84,1.442,0.286,9.5,0.3,3.5,3.6,1.05,3.43
1888,16,117,24.2,4.88,2.95,2180,0.04,0.96,0.07,0.07,0.01,8.84,8.26,4.88,2.89,0.24,2.17,,3.78,0.38,0,0.61,37.18,1.18,0.262,8.4,0.2,2.2,3.8,1.74,3.45
1887,16,130,24.4,6.35,4.17,2112,0.04,0.96,0.03,0.03,0.01,8.7,9.58,6.35,4.03,0.29,2.87,,2.8,0.36,0,0.61,38.55,1.43,0.288,9.9,0.3,3,2.9,0.98,3.82
1886,16,131,24.9,5.49,3.37,2098,0.04,0.96,0.05,0.05,0.01,8.71,8.57,5.49,3.26,0.2,2.66,,4.31,0.15,0,0.7,37.64,1.288,0.257,8.8,0.2,2.7,4.5,1.62,3.78
1885,16,108,24.7,5.22,3.03,1780,0.04,0.96,0.06,0.06,0.01,8.83,8.6,5.22,2.98,0.18,1.98,,3.77,0.19,0.02,0.68,37.42,1.198,0.254,8.8,0.2,2,3.8,1.9,3.94
1884,33,204,24.3,5.43,3.11,3074,0.06,0.94,0.06,0.06,0.01,8.75,8.64,5.43,3.03,0.22,1.6,,4.82,0.15,0,0.71,37.49,1.17,0.248,8.9,0.2,1.6,5,3,4.73
1883,16,86,25.2,5.75,3.22,1570,0.08,0.92,0.05,0.05,0.01,8.84,9.44,5.75,3.16,0.15,1.48,,3.37,,0,0.5,38.24,1.236,0.267,9.6,0.2,1.5,3.4,2.27,4.88
1882,14,69,25.3,5.33,2.8,1142,0.05,0.95,0.06,0.06,0,8.89,9.05,5.33,2.77,0.16,1.39,,2.93,,0,0.52,37.94,1.175,0.258,9.2,0.2,1.4,3,2.1,4.76
1881,8,29,23.6,5.1,2.77,672,0.06,0.94,0.08,0.08,0,8.91,9.42,5.1,2.75,0.11,1.54,,2.65,,0.01,0.51,37.81,1.23,0.278,9.5,0.1,1.6,2.7,1.72,4.14
1880,8,32,22.7,4.69,2.37,680,0.11,0.89,0.07,0.08,0.02,8.87,8.74,4.69,2.34,0.09,1.09,,2.92,,0,0.43,36.83,1.108,0.264,8.9,0.1,1.1,3,2.69,4.34
1879,8,25,23,5.31,2.5,642,0.05,0.95,0.07,0.07,0,9.03,9.61,5.31,2.5,0.09,0.79,,2.87,,0,0.57,38.42,1.152,0.275,9.6,0.1,0.8,2.9,3.63,4.87
1878,6,21,22.2,5.17,2.3,368,0.04,0.96,0.07,0.07,0,9.03,9.61,5.17,2.31,0.06,0.99,,2.94,,0,0.64,38.09,1.174,0.28,9.6,0.1,1,2.9,2.97,4.83
1877,6,19,24.2,5.67,2.81,360,0.09,0.91,0.06,0.06,0.01,9,10.29,5.67,2.81,0.07,0.96,,2.02,,0,0.56,38.91,1.25,0.285,10.3,0.1,1,2,2.1,5.16
1876,8,34,24.4,5.9,2.31,520,0.09,0.91,0.09,0.09,0.03,9.11,10.27,5.9,2.34,0.08,0.65,,1.13,,0,0.36,39.49,1.197,0.272,10.1,0.1,0.6,1.1,1.75,6.01
1875,13,42,24.3,6.14,2.23,690,0.1,0.9,0.07,0.07,0.03,8.97,9.87,6.14,2.22,0.06,0.36,,0.98,,0.01,0.48,39.25,1.141,0.259,9.9,0.1,0.4,1,2.71,6.96
1874,8,17,24.7,7.48,2.19,464,0.05,0.95,0.03,0.03,0.01,8.99,11.26,7.48,2.19,0.09,0.51,,0.77,,0,0.27,41.69,1.31,0.277,11.3,0.1,0.5,0.8,1.5,8.14
1873,9,25,21.3,8.99,3.4,398,0.09,0.91,0.02,0.02,0.02,9.01,12.38,8.99,3.4,0.12,0.84,,0.7,,0,0.31,43.45,1.468,0.293,12.4,0.1,0.8,0.7,0.83,8.02
1872,11,21,21.1,9.26,3.65,366,0.11,0.89,0.03,0.03,0.02,8.98,12.2,9.26,3.64,0.1,0.72,,0.72,,0.01,0.55,43.52,1.439,0.288,12.2,0.1,0.7,0.7,1.01,7.5
1871,9,19,24.3,10.47,4.22,254,0.09,0.91,0.02,0.02,0.02,8.86,12.21,10.47,4.15,0.19,1.55,,0.69,,0.01,0.82,44.15,1.553,0.288,12.4,0.2,1.6,0.7,0.45,7.61
